,Sport,NOC,Medal
1055,Water Polo,BEL,54
1056,Water Polo,CRO,38
1057,Water Polo,ESP,36
1058,Water Polo,EUN,13
1059,Water Polo,FRA,30
1060,Water Polo,FRG,12
1061,Water Polo,GBR,28
1062,Water Polo,GER,27
1063,Water Polo,GRE,13
1064,Water Polo,HUN,172
1065,Water Polo,ITA,120
1066,Water Polo,NED,31
1067,Water Polo,NZL,1
1068,Water Polo,RUS,51
1069,Water Polo,SCG,25
1070,Water Polo,SRB,39
1071,Water Polo,SWE,24
1072,Water Polo,URS,78
1073,Water Polo,USA,150
1074,Water Polo,YUG,76
1075,Weightlifting,ARG,2
1076,Weightlifting,ARM,7
1077,Weightlifting,AUS,4
1078,Weightlifting,AUT,11
1079,Weightlifting,AZE,1
1080,Weightlifting,BEL,4
1081,Weightlifting,BLR,12
1082,Weightlifting,BUL,36
1083,Weightlifting,CAN,3
1084,Weightlifting,CHN,57
1085,Weightlifting,COL,6
1086,Weightlifting,CRO,2
1087,Weightlifting,CUB,5
1088,Weightlifting,DEN,1
1089,Weightlifting,EGY,11
1090,Weightlifting,ESP,1
1091,Weightlifting,EST,7
1092,Weightlifting,EUN,9
1093,Weightlifting,FIN,3
1094,Weightlifting,FRA,16
1095,Weightlifting,FRG,7
1096,Weightlifting,GBR,5
1097,Weightlifting,GDR,11
1098,Weightlifting,GEO,4
1099,Weightlifting,GER,25
1100,Weightlifting,GRE,14
1101,Weightlifting,HUN,20
1102,Weightlifting,INA,10
1103,Weightlifting,IND,1
1104,Weightlifting,IRI,18
1105,Weightlifting,IRQ,1
1106,Weightlifting,ITA,15
1107,Weightlifting,JPN,14
1108,Weightlifting,KAZ,16
1109,Weightlifting,KOR,12
1110,Weightlifting,LAT,2
1111,Weightlifting,LIB,1
1112,Weightlifting,LTU,1
1113,Weightlifting,LUX,1
1114,Weightlifting,MDA,2
1115,Weightlifting,MEX,1
1116,Weightlifting,NED,3
1117,Weightlifting,NGR,1
1118,Weightlifting,NOR,1
1119,Weightlifting,PHI,1
1120,Weightlifting,POL,32
1121,Weightlifting,PRK,17
1122,Weightlifting,QAT,1
1123,Weightlifting,ROU,13
1124,Weightlifting,RUS,26
1125,Weightlifting,SGP,1
1126,Weightlifting,SUI,4
1127,Weightlifting,SWE,4
1128,Weightlifting,TCH,8
1129,Weightlifting,THA,11
1130,Weightlifting,TPE,8
1131,Weightlifting,TTO,3
1132,Weightlifting,TUR,12
1133,Weightlifting,UKR,8
1134,Weightlifting,URS,62
1135,Weightlifting,USA,42
1136,Weightlifting,UZB,1
1137,Weightlifting,VEN,1
1138,Weightlifting,VIE,1
1139,Wrestling,ARM,8
1140,Wrestling,AUS,3
1141,Wrestling,AUT,6
1142,Wrestling,AZE,23
1143,Wrestling,BEL,4
1144,Wrestling,BLR,11
1145,Wrestling,BUL,69
1146,Wrestling,CAN,17
1147,Wrestling,CHN,10
1148,Wrestling,COL,2
1149,Wrestling,CUB,22
1150,Wrestling,DEN,13
1151,Wrestling,EGY,6
1152,Wrestling,ESP,1
1153,Wrestling,EST,11
1154,Wrestling,EUN,16
1155,Wrestling,FIN,85
1156,Wrestling,FRA,17
1157,Wrestling,FRG,9
1158,Wrestling,GBR,17
1159,Wrestling,GDR,7
1160,Wrestling,GEO,18
1161,Wrestling,GER,34
1162,Wrestling,GRE,9
1163,Wrestling,HUN,55
1164,Wrestling,IND,5
1165,Wrestling,IRI,43
1166,Wrestling,ITA,21
1167,Wrestling,JPN,69
1168,Wrestling,KAZ,17
1169,Wrestling,KGZ,2
1170,Wrestling,KOR,36
1171,Wrestling,LAT,1
1172,Wrestling,LIB,3
1173,Wrestling,LTU,2
1174,Wrestling,MDA,1
1175,Wrestling,MEX,1
1176,Wrestling,MGL,9
1177,Wrestling,MKD,1
1178,Wrestling,NOR,8
1179,Wrestling,PAK,1
1180,Wrestling,POL,26
1181,Wrestling,PRK,10
1182,Wrestling,PUR,1
1183,Wrestling,ROU,33
1184,Wrestling,RUS,60
1185,Wrestling,SRB,1
1186,Wrestling,SUI,15
1187,Wrestling,SVK,1
1188,Wrestling,SWE,86
1189,Wrestling,SYR,1
1190,Wrestling,TCH,15
1191,Wrestling,TJK,1
1192,Wrestling,TUN,1
1193,Wrestling,TUR,63
1194,Wrestling,UAR,1
1195,Wrestling,UKR,15
1196,Wrestling,URS,116
1197,Wrestling,USA,128
1198,Wrestling,UZB,10
1199,Wrestling,YUG,16
